"id","Количество.комнат","Студия","Общая.площадь","Этаж","Этажей.в.доме","Парковка","Цена","Без.ремонта","Дизайнерский","Евроремонт","Косметический","Балкон","Лоджия","Совмещенный.санузел","Раздельный.санузел","Лифт","Грузовой.лифт","Мусоропровод","Год.постройки","Аварийный","Железобетонные.перекрытия","Смешанные.перекрытия","Деревянные.перекрытия","Иные.перекрытия","Панельные.стены","Блочные.стены","Деревянные.стены","Кирпичные.стены","Монолитные.стены","Смешанные.стены","Школа.1000","ВУЗ.1000","ТЦ.1000","Стоматология.1000","Почта.1000","Поликлиника.1000","Парк.1000","Остановка.1000","Одежда..1000","Супер3кет.1000","Кинотеатр.1000","Кафе.1000","АЗС.1000","Детский.сад.1000","Бар.1000","Банк.1000","Аптека.1000"
"18",3,0,67.2,1,10,0,4e+06,0,0,1,0,0,0,1,0,1,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,3,0,3,28,4,4,1,15,15,11,0,6,1,33,14,12,37
"19",4,0,80.2,6,10,0,5e+06,0,0,0,1,1,0,0,1,1,0,1,1994,0,1,0,0,0,1,0,0,0,0,0,3,0,0,20,1,2,0,11,57,9,1,12,0,23,7,9,25
"20",1,0,41,1,10,0,2400000,0,0,0,1,0,1,0,1,1,0,1,2013,0,1,0,0,0,1,0,0,0,0,0,5,0,1,28,4,4,1,11,12,11,0,6,0,30,7,13,37
"21",4,0,79.1,9,10,0,4500000,0,0,0,1,1,0,0,1,1,0,1,1995,0,1,0,0,0,1,0,0,0,0,0,2,0,0,19,1,4,0,11,41,7,1,13,0,20,6,9,30
"22",4,0,79.1,9,10,0,4400000,0,0,0,1,1,0,0,1,1,0,1,1995,0,1,0,0,0,1,0,0,0,0,0,2,0,0,19,1,2,0,10,52,9,1,12,0,21,7,9,25
"23",3,0,64.6,1,10,0,3200000,0,0,0,1,2,0,0,0,1,0,1,1995,0,1,0,0,0,1,0,0,0,0,0,2,1,2,18,1,1,0,11,58,9,1,13,0,21,7,12,23
"24",4,0,82,1,10,1,4350000,0,0,1,0,0,0,0,1,0,0,1,1996,0,1,0,0,0,1,0,0,0,0,0,2,0,1,18,0,1,0,11,54,8,1,11,0,19,6,8,24
"25",3,0,84,5,9,0,4900000,0,0,0,1,1,1,0,1,1,0,1,2000,0,1,0,0,0,1,0,0,0,0,0,2,1,2,18,0,1,0,12,58,8,1,12,0,18,7,11,22
"26",2,0,56,10,10,0,3400000,0,0,0,1,1,0,0,1,1,0,1,2007,0,1,0,0,0,1,0,0,0,0,0,3,1,2,25,1,1,0,12,63,9,1,16,0,27,8,15,26
"27",2,0,56,10,10,0,3500000,0,0,1,0,1,0,0,1,1,0,1,2007,0,1,0,0,0,1,0,0,0,0,0,3,1,2,25,1,1,0,12,63,9,1,16,0,27,8,15,26
"28",1,0,44.2,14,27,1,2800000,0,0,0,1,0,1,1,0,1,1,1,2015,0,1,0,0,0,0,0,0,1,0,0,1,1,6,19,0,0,1,12,74,3,1,27,2,10,9,9,12
"29",2,0,53,12,12,0,3200000,0,0,0,1,1,0,0,1,1,0,1,2010,0,1,0,0,0,0,0,0,0,0,1,1,0,4,17,1,2,0,12,12,6,0,11,3,14,6,3,21
"30",3,0,96,4,12,1,5700000,0,0,0,1,1,0,0,1,1,1,1,2012,0,1,0,0,0,0,0,0,1,0,0,1,0,3,13,1,2,0,12,9,5,0,11,3,14,4,2,18
"31",3,0,82.9,9,12,0,5300000,0,0,0,1,1,0,0,1,1,0,1,2012,0,1,0,0,0,0,0,0,1,0,0,1,0,3,13,1,2,0,12,9,5,0,11,3,14,4,2,18
"32",1,1,27,1,3,0,1250000,0,0,0,1,0,0,1,0,0,0,0,1959,0,1,0,0,0,0,1,0,0,0,0,5,0,0,3,2,1,1,9,3,2,0,2,2,10,2,3,9
"33",2,0,55,3,10,0,2750000,0,0,0,1,2,0,0,1,1,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,7,1,2,5,2,3,0,8,1,5,0,2,4,8,1,4,6
"34",2,0,43,4,4,0,2300000,0,0,1,0,1,0,0,1,0,0,0,1963,0,1,0,0,0,0,0,0,1,0,0,5,0,1,8,1,3,0,6,4,5,0,6,1,12,2,8,8
"35",2,0,44,4,4,0,2250000,0,0,1,0,1,0,1,0,0,0,0,1963,0,1,0,0,0,0,0,0,1,0,0,5,0,1,8,1,3,0,6,4,5,0,6,1,12,2,8,8
"36",1,0,41,16,26,1,2380000,0,0,0,1,1,1,1,0,1,2,1,2017,0,1,0,0,0,0,0,0,0,1,0,7,0,1,12,2,3,0,7,4,9,0,7,1,19,4,8,10
"37",3,0,65.5,2,4,0,3500000,0,0,0,1,0,0,0,1,0,0,0,1957,0,0,1,0,0,0,0,0,1,0,0,6,8,2,11,3,5,0,9,9,6,0,10,4,19,6,13,29
"38",2,0,50,4,5,0,2900000,0,1,0,0,1,0,0,1,0,0,0,1980,0,1,0,0,0,1,0,0,0,0,0,7,8,2,12,3,5,0,9,9,6,0,9,4,19,6,13,31
"39",3,0,57,1,5,1,3200000,0,0,0,1,0,0,1,0,0,0,0,1965,0,1,0,0,0,1,0,0,0,0,0,2,8,5,10,3,4,0,18,35,2,1,17,5,9,5,11,15
"40",1,1,17,4,5,0,1050000,0,0,1,0,0,0,1,0,0,0,0,1967,0,1,0,0,0,0,0,0,1,0,0,2,9,3,11,3,4,0,21,23,2,0,18,6,10,8,11,14
"41",2,0,54.1,8,10,0,3450000,0,0,0,1,1,0,0,1,1,0,1,2002,0,1,0,0,0,1,0,0,0,0,0,5,4,4,13,4,2,2,22,45,7,1,18,2,13,5,11,15
"42",3,0,115,10,10,0,5070000,0,0,0,1,2,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,1,1,0,0,1,7,0,0,4
"43",2,0,72,10,10,0,4350000,0,0,0,1,1,0,1,0,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,1,1,0,0,1,7,0,0,4
"44",1,0,54,5,10,1,3150000,0,0,0,1,1,0,1,0,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,1,1,0,0,1,7,0,0,4
"45",1,0,54,5,10,0,3150000,0,0,0,1,1,0,1,0,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,1,1,0,0,1,7,0,0,4
"46",3,0,100,3,10,0,6e+06,0,0,1,0,0,1,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,1,1,0,0,1,7,0,0,4
"47",1,0,53,4,10,1,3e+06,0,0,0,1,0,1,0,1,1,0,1,2007,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,2,1,1,0,0,1,7,0,0,4
"48",1,0,41,6,9,0,2250000,0,0,0,1,1,0,0,1,1,0,1,2005,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,2,1,1,0,0,1,6,0,0,3
"49",1,0,42,4,6,0,2300000,0,0,0,1,1,0,0,1,1,0,0,2003,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,2,0,0,2,1,1,0,0,1,6,0,0,3
"50",3,0,68,6,10,0,3850000,0,0,0,1,1,0,0,1,1,0,1,2005,0,1,0,0,0,1,0,0,0,0,0,4,4,0,5,1,1,1,8,0,3,0,6,2,13,3,2,13
"51",2,0,54,1,9,0,2100000,0,0,0,1,0,1,0,1,1,0,1,1987,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"52",2,0,52.31,1,9,0,2800000,0,0,0,1,0,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,3,8,0,4,2,1,0,10,3,3,0,4,2,12,3,2,9
"53",4,0,82,7,10,1,4850000,0,0,0,1,1,0,0,1,1,0,1,1986,0,1,0,0,0,1,0,0,0,0,0,2,8,0,3,1,1,0,7,2,2,0,4,1,8,3,2,6
"54",1,0,41,10,10,0,2650000,0,0,0,1,1,0,0,1,1,0,1,2006,0,1,0,0,0,1,0,0,0,0,0,2,1,7,28,1,2,2,21,66,6,1,34,5,18,16,24,23
"55",3,0,86,25,25,0,5550000,0,0,0,1,0,1,0,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,1,0,1,1,6,20,0,0,1,13,73,4,1,28,3,13,9,10,18
"56",2,0,67.8,23,25,0,4350000,0,0,0,1,1,0,1,0,4,2,1,2013,0,1,0,0,0,0,0,0,0,1,0,1,1,6,17,0,0,1,11,73,4,1,26,1,10,7,9,14
"57",2,0,68.2,21,25,1,4300000,0,0,0,1,1,0,1,0,2,2,1,2013,0,1,0,0,0,0,0,0,0,1,0,1,1,6,17,0,0,1,11,73,4,1,26,1,10,7,9,14
"58",3,0,139,5,25,0,8e+06,0,0,1,0,0,0,0,0,2,2,1,2013,0,1,0,0,0,0,0,0,0,1,0,1,1,6,17,0,0,1,11,73,4,1,26,1,10,7,9,14
"59",3,0,72,2,10,0,4350000,0,0,0,1,1,0,0,0,4,0,1,2007,0,1,0,0,0,1,0,0,0,0,0,4,7,5,32,2,4,4,24,39,9,0,34,7,19,19,31,29
"60",6,0,158,5,6,0,9700000,0,1,0,0,3,0,1,1,1,0,1,1999,0,1,0,0,0,1,0,0,0,0,0,3,6,5,33,2,3,4,23,33,8,0,36,6,18,20,28,27
"61",3,0,68,4,10,0,4350000,0,0,0,1,1,0,0,1,1,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,3,6,7,34,3,5,4,27,38,10,0,38,5,19,19,38,29
"62",2,0,54,1,10,0,2990000,0,0,0,1,0,0,0,1,0,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,3,6,7,34,3,5,4,27,39,10,0,37,6,19,19,40,29
"63",5,0,123.3,7,19,0,7700000,0,0,0,1,3,0,0,2,0,0,1,1998,0,1,0,0,0,0,0,0,0,1,0,3,6,7,33,3,6,4,27,40,10,0,34,6,19,18,39,30
"64",3,0,100,16,19,0,6e+06,0,0,1,0,1,1,1,0,1,0,1,2000,0,1,0,0,0,0,0,0,0,1,0,3,6,7,33,3,6,4,26,39,10,0,33,8,18,16,39,29
"65",2,0,80.5,7,9,0,4500000,0,1,0,0,0,1,0,1,1,0,1,2008,0,1,0,0,0,0,0,0,0,0,1,2,4,4,21,2,3,4,15,19,8,0,19,8,18,13,28,17
"66",4,0,81.3,8,10,0,4800000,0,0,0,1,1,0,0,1,1,0,1,1994,0,1,0,0,0,1,0,0,0,0,0,3,7,6,34,2,4,4,25,33,10,0,39,5,19,20,37,27
"67",2,0,53,1,10,0,3050000,0,0,0,1,0,0,1,0,1,0,1,1994,0,1,0,0,0,1,0,0,0,0,0,3,7,6,34,2,4,4,25,33,10,0,39,5,19,20,37,27
"68",4,0,84,10,10,0,4500000,0,0,1,0,1,0,0,0,1,0,1,1995,0,1,0,0,0,1,0,0,0,0,0,4,7,6,33,3,6,4,28,43,8,0,32,5,19,18,38,32
"69",4,0,90.2,6,10,0,5800000,0,1,0,0,1,0,0,1,1,0,1,1993,0,1,0,0,0,1,0,0,0,0,0,3,6,5,35,2,5,4,25,36,9,0,33,7,21,19,33,27
"70",1,0,37,1,9,0,2150000,0,0,0,1,0,0,0,1,1,0,0,1997,0,1,0,0,0,0,0,0,1,0,0,2,6,4,17,2,7,2,23,27,6,0,21,6,11,11,25,21
"71",3,0,71,2,10,1,4500000,0,0,0,1,1,0,0,1,1,0,1,1991,0,0,1,0,0,1,0,0,0,0,0,4,8,4,23,4,7,4,26,28,8,0,27,6,16,15,32,31
"72",3,0,68,1,10,0,3500000,0,0,0,1,0,0,0,0,1,0,1,1992,0,1,0,0,0,1,0,0,0,0,0,4,8,6,24,4,7,4,28,44,8,0,32,5,17,17,36,33
"73",4,0,83.8,5,10,0,4900000,0,0,1,0,1,0,1,0,1,0,1,1996,0,1,0,0,0,1,0,0,0,0,0,5,8,6,28,3,5,1,28,41,8,0,32,6,19,18,31,34
"74",1,0,42,5,10,0,2700000,0,0,0,1,1,0,0,1,1,0,1,1996,0,1,0,0,0,1,0,0,0,0,0,5,8,5,23,3,4,1,21,36,6,0,27,6,19,14,22,26
"75",3,0,68,8,10,0,4250000,0,0,1,0,0,1,1,0,1,0,1,2001,0,1,0,0,0,0,0,0,0,0,1,2,8,6,21,2,4,1,19,38,5,0,23,8,17,10,17,22
"76",3,0,68,8,10,0,4250000,0,0,1,0,0,1,0,0,1,0,1,2001,0,1,0,0,0,0,0,0,0,0,1,2,8,6,21,2,4,1,19,38,5,0,23,8,17,10,17,22
"77",5,0,142,2,10,0,7850000,0,0,1,0,2,0,2,0,1,0,1,1998,0,1,0,0,0,1,0,0,0,0,0,4,7,5,20,3,4,1,19,36,5,0,26,6,14,10,15,19
"78",4,0,81,7,10,0,4700000,0,0,0,1,2,0,0,1,1,0,1,2000,0,1,0,0,0,1,0,0,0,0,0,4,7,6,24,2,4,1,19,36,5,0,27,6,15,10,15,22
"79",3,0,96,2,26,1,5900000,0,0,0,1,1,0,1,1,2,2,1,2016,0,1,0,0,0,0,0,0,0,0,1,4,10,4,20,2,7,2,25,27,5,0,23,6,16,10,24,26
"80",4,0,60,4,5,0,2700000,0,0,0,1,0,0,0,0,0,0,0,1948,0,0,0,1,0,0,0,0,1,0,0,10,6,2,8,4,5,2,11,9,5,0,8,4,18,3,11,27
"81",2,0,40.2,2,2,1,1800000,0,0,0,1,1,0,1,0,0,0,0,1948,0,0,0,1,0,0,0,0,1,0,0,9,6,2,9,3,4,0,11,8,6,0,8,4,19,3,10,27
"82",3,0,58,5,5,0,3e+06,0,0,0,1,1,0,1,0,0,0,0,1963,0,1,0,0,0,1,0,0,0,0,0,9,6,3,9,3,4,0,11,8,6,0,9,4,19,4,12,27
"83",2,0,45.7,1,5,0,1950000,0,0,0,1,0,0,1,0,0,0,0,1963,0,1,0,0,0,1,0,0,0,0,0,9,6,3,9,3,4,0,11,8,6,0,9,4,19,4,12,27
"84",2,0,42.5,1,9,0,2350000,0,0,0,1,1,0,0,1,1,0,1,1976,0,1,0,0,0,1,0,0,0,0,0,7,6,3,8,2,4,0,10,6,5,0,9,5,16,3,13,27
"85",4,0,60,5,5,0,3200000,0,1,0,0,1,0,1,0,0,0,0,1969,0,1,0,0,0,1,0,0,0,0,0,7,7,3,10,2,5,0,11,9,5,0,10,5,16,4,12,29
"86",1,0,30.6,5,5,0,1680000,0,0,0,1,0,0,0,1,0,0,0,1974,0,1,0,0,0,1,0,0,0,0,0,5,0,3,8,3,3,1,13,5,3,0,3,3,13,0,6,15
"87",1,0,30.5,5,5,0,1680000,0,0,0,1,0,0,0,1,0,0,0,1974,0,1,0,0,0,1,0,0,0,0,0,5,0,3,8,3,3,1,13,5,3,0,3,3,13,0,6,15
"88",2,0,44.3,2,5,1,2600000,0,0,0,1,1,0,0,1,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,6,0,3,7,2,3,0,11,5,5,0,2,3,11,0,5,12
"89",1,0,31,1,5,0,1550000,0,0,1,0,0,0,1,0,0,0,0,1972,0,0,1,0,0,0,0,0,1,0,0,7,0,3,6,2,3,0,9,5,5,0,2,4,9,0,5,8
"90",3,0,62,5,5,0,2400000,0,0,0,1,1,0,0,0,0,0,0,1978,0,0,0,1,0,0,0,0,1,0,0,7,0,4,6,2,3,0,10,5,5,0,2,3,9,0,5,10
"91",3,0,49,4,5,0,2300000,0,0,0,1,1,0,0,0,0,0,0,1973,0,1,0,0,0,1,0,0,0,0,0,5,0,4,7,2,3,1,14,5,5,0,3,3,13,0,6,15
"92",1,0,14,4,5,0,8e+05,0,0,0,1,0,0,1,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,5,0,4,7,2,3,1,13,5,5,0,3,3,13,0,6,14
"93",1,1,18,1,5,0,870000,0,0,1,0,0,0,1,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,5,0,4,7,2,3,1,13,5,5,0,3,3,13,0,6,14
"94",1,0,30,2,2,0,1100000,0,0,0,1,0,0,1,0,0,0,0,1960,0,0,0,1,0,0,1,0,0,0,0,4,1,2,5,2,3,0,8,1,5,0,2,4,8,0,4,6
"95",2,0,37,2,2,1,1350000,0,0,0,1,0,0,0,0,0,0,0,1960,0,0,0,1,0,0,1,0,0,0,0,4,0,0,5,2,2,0,6,1,3,0,2,4,8,0,3,5
"96",2,0,36,1,2,0,1950000,0,0,0,1,0,0,1,0,0,0,0,1960,0,0,0,1,0,0,1,0,0,0,0,4,0,0,5,2,2,0,6,1,3,0,2,4,8,0,3,5
"97",2,0,50,1,5,0,2250000,0,0,0,1,0,1,0,1,0,0,1,1989,0,0,1,0,0,0,0,0,1,0,0,4,0,2,5,2,3,0,9,1,5,0,2,4,9,0,4,6
"98",1,0,17,2,5,0,9e+05,0,0,0,1,0,0,0,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,5,0,4,7,2,3,1,13,5,5,0,3,3,11,0,6,14
"99",1,0,16.9,3,5,0,890000,0,0,0,1,0,0,1,0,0,0,0,1970,0,1,0,0,0,1,0,0,0,0,0,5,0,4,7,2,3,1,13,5,5,0,3,3,11,0,6,14
"100",2,0,46,1,4,0,2250000,0,0,0,1,0,0,0,0,0,0,0,1961,0,1,0,0,0,0,0,0,1,0,0,12,14,1,15,5,4,3,11,25,6,0,8,3,22,6,13,24
"101",2,0,46,1,5,0,2250000,0,0,0,1,0,0,0,1,0,0,0,1961,0,1,0,0,0,0,0,0,1,0,0,12,14,1,15,5,4,3,11,25,6,0,8,3,22,6,13,24
"102",3,0,68,5,10,0,3500000,0,0,0,1,2,0,1,0,1,0,0,1996,0,1,0,0,0,1,0,0,0,0,0,5,1,4,9,2,2,1,7,11,4,0,8,3,10,1,12,15
"103",2,0,54,6,10,1,3500000,0,0,1,0,0,1,0,1,0,1,1,2006,0,1,0,0,0,0,0,0,1,0,0,5,0,1,3,3,1,1,8,3,4,0,5,1,13,2,5,12
"104",1,1,30,4,14,1,1700000,0,1,0,0,1,0,0,0,2,2,1,2011,0,1,0,0,0,1,0,0,0,0,0,5,0,1,4,3,1,1,9,3,4,0,5,1,16,2,6,15
"105",1,0,32,4,10,1,1950000,0,0,0,1,0,1,0,1,1,1,1,2011,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,2,0,2,0,2,0,0,1,6,1,1,3
"106",2,0,50,9,10,0,3100000,0,1,0,0,1,0,0,1,1,0,1,2011,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,2,0,2,0,2,0,0,1,6,1,1,3
"107",2,0,54.4,4,9,0,2399999,0,0,0,1,1,0,0,1,1,0,1,1989,0,1,0,0,0,1,0,0,0,0,0,3,1,2,2,0,0,0,2,0,2,0,0,0,7,1,1,3
"108",1,0,38,10,10,0,2150000,0,0,0,1,2,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,1,0,2,0,2,0,0,1,6,1,1,3
"109",1,0,37.8,10,10,0,2150000,0,0,0,1,2,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,1,0,2,0,2,0,0,1,6,1,1,3
"110",1,0,33,8,10,0,1800000,0,0,0,1,2,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,5,1,2,2,0,1,0,2,0,2,0,0,1,6,1,1,3
"111",2,0,43.1,4,4,0,2660000,0,0,0,1,1,0,0,0,0,0,0,1960,0,1,0,0,0,0,0,0,1,0,0,5,6,1,15,1,3,1,10,15,5,1,9,4,18,10,6,17
"112",3,0,56,1,5,0,2880000,0,0,0,1,0,0,1,1,0,0,0,1961,0,1,0,0,0,1,0,0,0,0,0,9,15,1,11,4,2,3,6,22,6,0,9,1,20,3,14,20
"113",1,0,31,5,5,0,1650000,0,0,0,1,1,0,1,0,0,0,0,1961,0,1,0,0,0,1,0,0,0,0,0,10,15,1,11,5,2,3,6,23,6,0,9,1,20,4,15,21
"114",1,0,31,5,5,0,1600000,0,0,0,1,1,0,1,0,0,0,0,1961,0,1,0,0,0,1,0,0,0,0,0,10,15,1,11,5,2,3,6,23,6,0,9,1,20,4,15,21
"115",2,0,42,3,5,0,2440000,0,1,0,0,1,0,1,0,0,0,0,1961,0,1,0,0,0,1,0,0,0,0,0,10,15,1,12,5,2,2,8,23,6,0,9,1,23,4,15,22
"116",1,0,32,5,5,0,1850000,0,0,0,1,0,0,1,0,0,0,0,1971,0,1,0,0,0,1,0,0,0,0,0,9,15,1,9,3,1,3,5,23,6,0,7,1,18,2,13,20
"117",2,0,44,4,5,0,2370000,0,0,0,1,1,0,0,0,0,0,0,1965,0,1,0,0,0,1,0,0,0,0,0,6,15,1,8,4,1,3,4,23,6,0,10,1,18,3,13,18
"118",2,0,45,3,5,1,2500000,0,0,1,0,0,1,1,0,0,0,0,1961,0,1,0,0,0,1,0,0,0,0,0,9,15,1,11,4,2,3,5,22,6,0,9,1,19,4,14,20
"119",1,1,13,2,5,0,690000,0,0,0,1,0,0,1,0,0,0,0,1963,0,1,0,0,0,1,0,0,0,0,0,4,11,2,17,3,3,1,9,25,6,0,8,5,11,3,12,12
"120",1,0,35,2,4,0,1850000,0,0,0,1,0,0,1,0,0,0,0,1970,0,1,0,0,0,0,0,0,1,0,0,7,6,1,14,2,3,0,7,16,5,0,6,7,14,2,8,12
"121",2,0,45.3,5,5,0,2200000,0,0,0,1,1,0,1,0,0,0,0,1962,0,1,0,0,0,1,0,0,0,0,0,5,11,2,17,3,3,2,8,25,6,0,11,5,12,2,12,12
"122",2,0,45,5,5,0,2050000,0,0,0,1,1,0,1,0,0,0,0,1962,0,1,0,0,0,1,0,0,0,0,0,5,11,2,17,3,3,2,8,25,6,0,11,5,12,2,12,12
"123",1,0,38,9,9,0,2150000,0,0,0,1,1,0,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,6,11,2,17,3,3,1,9,25,6,0,9,5,12,3,12,12
"124",1,0,38,9,9,0,1900000,0,0,0,1,1,0,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,6,11,2,17,3,3,1,9,25,6,0,9,5,12,3,12,12
"125",3,0,60,4,5,0,2850000,0,0,0,1,1,0,1,0,0,0,0,1967,0,1,0,0,0,0,0,0,1,0,0,7,11,2,17,3,3,1,9,25,6,0,8,6,13,3,12,13
"126",3,0,60,4,5,0,3075000,0,0,0,1,1,0,1,0,0,0,0,1968,0,1,0,0,0,1,0,0,0,0,0,7,11,2,16,3,3,2,8,24,6,0,7,6,16,2,12,14
"127",1,0,18,5,5,0,970000,0,0,0,1,1,0,0,0,0,0,0,1963,0,1,0,0,0,0,0,0,1,0,0,4,1,3,4,2,2,1,13,4,8,0,3,2,14,5,4,18
"128",1,0,18,5,5,0,1050000,0,0,0,1,0,0,1,0,0,0,0,1973,0,1,0,0,0,1,0,0,0,0,0,4,1,5,8,4,6,1,13,4,11,0,6,2,21,2,7,16
"129",2,0,73,9,10,0,3600000,0,0,0,1,0,1,1,0,1,0,1,2007,0,1,0,0,0,0,0,0,0,0,1,4,1,4,9,4,5,1,12,5,10,0,7,4,21,2,7,17
"130",2,0,54,2,10,1,3200000,0,0,0,1,1,0,0,1,1,0,1,2007,0,1,0,0,0,0,0,0,0,0,1,4,1,4,9,4,5,1,12,5,10,0,7,4,21,2,7,17
"131",4,0,79.8,5,9,0,3750000,0,0,0,1,2,0,0,1,1,0,1,1985,0,1,0,0,0,1,0,0,0,0,0,6,1,6,15,4,3,0,11,8,8,0,7,4,30,5,5,19
